"Name","DurationTicks","GradualWearOffAfter","CancelOnDamage","CancelOnCharge","CancelOnChargeEnd","CancelOnHealthRegen","CancelOnSourceDeath","TriggerRate","TriggerOnFirstTick","Stacking","Refreshable","PulsatingActiveTicksOn","PulsatingActiveTicksOff","Damage","DamageHealSource","UltiChargePercent","UltiChargeBoostPercent","AmmoReducePercent","Healing","ShieldPercent","SpeedBoostPercent","SpeedBoostAbsolute","SpeedReducePercent","SpeedReduceAbsolute","DamageBoostPercent","ShowDamageAsCrit","DamageReducePercent","DamageBoostTargetCurrentHealthPercent","DamageReceivedBoostPercent","DamageReceivedBoostAbsolute","DecreaseReloadTimePercent","SourceLifeSteal","Cleanse","DoBlinkClear","CcImmunity","AttackImmunity","Invisibility","ForceShow","LosePlayerControl","FullStun","Taunt","Stasis","Silence","ScaleWithUpgrades","ScaleWithBuffs","IsDebuff","AttackPierceCharacters","AttackThroughWalls","UltiAttackThroughWalls","MoveThroughWalls","MoveThroughWater","ServerOnly","SpawnCharacterOnDeath","SpawnAreaEffectOnDeath","PersistTransformation","BooleanAttributes","HapticsToSource","TimerBar","Traits","Components","ActivateOnRefreshCount"
"FleaPetDot","80","","","","","","","20","","TRUE","","","","200","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"FleaPetHot","80","","","","","","","20","","TRUE","","","","","","","","","250","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","","","","",""
"FleaExtraPetDot","40","","","","","","","20","","TRUE","","","","200","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"SamuraiShield","9999999","","TRUE","","","","","","","","TRUE","","","","","","","","","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SamuraiHide","120","","","TRUE","","","","","","","TRUE","","","","","","","","","100","","","100","","","","","","","","","","TRUE","TRUE","TRUE","TRUE","full","","TRUE","","","","","","","","","","","","","","","","","","","","","",""
"SnakeOilDot","40","","","","","","","20","TRUE","TRUE","","","","380","","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","TRUE","","","",""
"SnakeOilHot","40","","","","","","","20","TRUE","TRUE","","","","","","","","","380","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","","","","",""
"SnakeOilGadgetDot","40","","","","","","","20","TRUE","TRUE","","","","304","","82","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","TRUE","","","",""
"SnakeOilGadgetHot","40","","","","","","","20","TRUE","TRUE","","","","","","","","","228","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","","","","",""
"CrowPoison","80","","","","","","","20","","","TRUE","","","80","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"CrowCrippleSP","80","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"LuchadorFire","80","","","","","","","20","","","TRUE","","","225","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"ShadowMushroomHot","40","","","","","","","20","TRUE","TRUE","","","","","","","","","235","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"ShadowMushroomDot","40","","","","","","","20","TRUE","TRUE","","","","240","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","","","","",""
"AttacherUltiDot","40","","","","","","","20","","TRUE","","","","125","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"CookerGadgetDot","60","","","","","","","20","TRUE","","TRUE","","","130","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"CookerGadgetHot","60","","","","","","","20","TRUE","","TRUE","","","","","","","","350","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","","","","",""
"GhostIncorporeal","120","","","","","","","","","TRUE","TRUE","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","TRUE","","",""
"GhostShield","120","","","","","","","","","","TRUE","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GhostDeadCenterReward","20","","","","","","","","","TRUE","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GhostSpooked","80","","","","","","","","","","TRUE","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"MosquitoPoison","80","","","","","","","20","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"DemonicRitualCooldown","10","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AngelicGraceCooldown","20","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DemonicMomentum","9999999","","","","","TRUE","","20","","","TRUE","","","","","","","","","","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SpeedOfAnAngel","9999999","","","","","","","20","","TRUE","TRUE","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SpeedOfAnAngel002","9999999","","","","","","","20","","TRUE","TRUE","","","","","","","","","","","140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LastBreathCooldown","500","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","",""
"LastBreath","30","","","","","","","10","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","",""
"AngelicWrathCooldown","50","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DemonicfireCooldown","10","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"InvokDemonicPetAfterDying","9999999","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DemonicPet","","","","","","","",""
"InvokeAngelicBigPetAfterDying","9999999","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VoodooGadgetSpeedUp","60","","","","","","","","","","","","","","","","","","","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VoodooGadgetShield","60","","","","","","","","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SilencerUltiOvercharged","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","TRUE","","","","","","","","","","","","","","",""
"BarrelbotShield","18","","","","","","","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BarrelbotAfterChargeShield","40","","","","","","","","","","","","","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DemonicMomentum002","9999999","","","","","TRUE","","20","","","TRUE","","","","","","","","","","","110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DemonicMomentum003","9999999","","","","","TRUE","","20","","","TRUE","","","","","","","","","","","180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DemonicMomentum004","9999999","","","","","TRUE","","20","","","TRUE","","","","","","","","","","","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DemonicMomentumCooldown","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DemonicRevengeCooldown","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","",""
"DemonicSoulCollectorCooldown","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","",""
"SpeedOfAnAngel003","9999999","","","","","","","20","","TRUE","TRUE","","","","","","","","","","","180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SpeedOfAnAngel004","9999999","","","","","","","20","","TRUE","TRUE","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SpeedOfAnAngel005","9999999","","","","","","","20","","TRUE","TRUE","","","","","","","","","","","220","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LightyearFire","80","","","","","","","20","","","TRUE","","","80","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"SkaterUltiTaunt","50","","","","","","TRUE","","TRUE","","TRUE","","","800","","100","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"SkaterUltiHCTaunt","50","","","","","","TRUE","","TRUE","","TRUE","","","840","","100","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"SkaterUltiAmmoReductionSelf","30","","","","","","","","TRUE","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"SkaterGadgetJumpTaunt","20","","","","","","TRUE","","TRUE","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","TRUE","","","","","","","","","","","","","","",""
"SkaterGadgetProjectileTaunt","20","","","","","","TRUE","","TRUE","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","TRUE","","","","","","","","","","","","","","",""
"MeepleSuperArea","10","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","",""
"Invulnerable","9999999","","","","","","","10","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArenaBuff","1300","","","","","","","20","","","","","","","","","","","","30","","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","",""
"MorningstarSuperRoot","20","","","","","","","","","","TRUE","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"MorningstarRecallSlow","20","","","","","","","","","","TRUE","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"GusOverchargedHealingProjectile","10","","","","","","","20","TRUE","TRUE","","","","","","","","","340","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","","","","",""
"ChronomancerTimebendSpeedReduce","2","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","70","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"ChronomancerTimebendSpeedBoost","100","","","","","","","","TRUE","","TRUE","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ChronomancerTimebendBoostSelf","100","","","","","","","","TRUE","","TRUE","","","","","","","","","","30","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ChronomancerGadgetProjectileStasis","40","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","TRUE","","","","","","","","","","","","","","",""
"CleanseInfiniteNoVFX","9999999","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AlternatorProjectileHeal","2","","","","","","","","TRUE","","","","","","","","","","650","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","TRUE","","","",""
"AlternatorHealAura","2","","","","","","","","TRUE","","","","","","","","","","750","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","TRUE","","","",""
"AlternatorSpeedAura","40","","","","","","","","","","TRUE","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","",""
"AlternatorDamageAura","2","","","","","","","","TRUE","","","","","650","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","TRUE","","","",""
"AlternatorSlowAura","40","","","","","","","","","","TRUE","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","","","",""
"AlternatorProjectileSpeedTrail","15","","","","","","","","","","TRUE","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AlternatorProjectileSlowTrail","25","","","","","","","","","","TRUE","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"AlternatorHealAuraOvercharged","2","","","","","","","","TRUE","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","TRUE","","","",""
"AlternatorSpeedAuraOvercharged","40","","","","","","","","","","TRUE","","","","","","","","","","40","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","",""
"GeishaStormDebuff","2","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HasStormVision","","","","",""
"GeishaTransformedUltiDamageMark","50","","","","","","","50","","TRUE","","","","1360","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","TRUE","","TRUE","","","",""
"GeishaTransformedUltiDamageMarkSp","50","","","","","","","50","","TRUE","","","","1360","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","GeishaTransformedMarkExplosionSP","TRUE","","TRUE","","","",""
"GeishaTransformedUltiDamageMarkOvercharged","50","","","","","","","50","","TRUE","","","","1360","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","GeishaTransformedMarkDamagedOvercharged","TRUE","InstantTriggerIfKills","TRUE","","","",""
"GeishaTransformedUltiDamageMarkSpOvercharged","50","","","","","","","50","","TRUE","","","","1360","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","GeishaTransformedMarkExplosionSPOvercharged","TRUE","InstantTriggerIfKills","TRUE","","","",""
"GeishaTransformSpeedBoost","50","","","","","","","","","","TRUE","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GeishaTransformInvisibility","30","","TRUE","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","normal","","","","","","","","","","","","","","","","","","","CancelOnAttack","","","","",""
"GeishaWeakSpotSlowdown","50","","","","","","","","","","TRUE","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"SkaterMutantTaunt","60","","","","","","TRUE","","TRUE","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","TRUE","","","","","","","","","","","","","","",""
"TriggerProjectileOnHittingCooldown","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MegaBossVulnerableGen","9999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ForceShow","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","",""
"MutantRosaForceShow","999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","",""
"MutantGhostIncorporeal","20","","","","","","","","","TRUE","TRUE","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","TRUE","","",""
"SafeInvulnerability","60","","","","","","","","TRUE","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","",""
"Debug","20","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","60","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","AdditiveDurationTicksOnRefresh","","","","",""
"GusOverchargedDmgProjectile","10","","","","","","","20","TRUE","TRUE","","","","900","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"SpeedWhenUsingUltiAngels","60","","","","","","","20","","TRUE","TRUE","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SpeedBoostOnKillDemons","60","","","","","","","10","","","TRUE","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShootProjectileOnBasicAttackCooldown","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DemonicStatusEffectForProjectiles","80","","","","","","","20","","","TRUE","","","100","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"CannonGirlOverchargedStun","20","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","TRUE","","","","","","","","","","","","","","",""
"DomainOnAreaBuff","2","","","","","","","","","","TRUE","","","","","","","","","","25","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DomainDamageReduceSP","2","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"DomainForceShowSP","2","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","TRUE","","","","","","TRUE","","","","","","","","",""
"DomainInverseDamageGadget","40","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReceiveDamageInversion","","","","",""
"DomainOverchargedUltiDamage","20","","","","","","","1","","","TRUE","","","150","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","TRUE","","","",""
"AngelicHot","40","","","","","","","20","TRUE","TRUE","","","","","","","","","250","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","","","","",""
"IceDudeHypothermia","750","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","TRUE","","","","","","TRUE","","","","PartialStunBasedDamageReduce","","","","",""
"DuplicatorPetTooCloseCripple","2","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"StalkerUltiInvisible","140","","","","","","","","","","TRUE","40","10","","","","","","","","","","","","","","","","","","","","","","","","attacks_dont_reveal","","","","","","","","","","","","","","","","","","","","","TRUE","","",""
"StalkerUltiDamageTargetCurrentHpBoost","999999","","","","TRUE","","","","","","TRUE","","","","","","","","","","","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ElectroSniperCurse","99999","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","","","","","","","35","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","RemoveOtherInstances","","","","",""
"DragonRaiderMark","100","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","","","","","","","35","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"SplitterTag","100","","TRUE","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","700","","","","","","","","","","","","","","TRUE","","TRUE","","","","","","","","","","NotForObjects","","","","",""
"BullGadgetStun","10","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","",""
"DodgeballDeathStun","60","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","TRUE","","","","","","","","","","IgnoreCCImmunity;IsDodgeballDeathStun","","","","",""
"SS_JetpackSlow","40","","","","","","","","","","TRUE","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"TrailRunSpeedBoostOnKill","60","20","","","","","","","","TRUE","","","","","","","","","","","","800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TrailRunRubberBandSpeedBoost1","60","20","","","","","","","","TRUE","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TrailRunRubberBandSpeedBoost2","70","30","","","","","","","","TRUE","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TrailRunRubberBandSpeedBoost3","80","40","","","","","","","","TRUE","","","","","","","","","","","","400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FurySlowdown","20","","","","","","","","","","TRUE","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"StickyBombUltiSlow","80","","","","","","","","","","TRUE","","","","","","","","","","","","","350","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"MaisieUltiSlow","40","","","","","","","","","","TRUE","","","","","","","","","","","","","350","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"SignalStrikeReload","30","","","","","","","","TRUE","","","","","","","","","-33","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"MegaCrowPoison","60","","","","","","","15","","","TRUE","","","50","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"MegaCrowPoisonStrong","144","","","","","","","12","","","TRUE","","","120","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","",""
"DancerRootSp","30","","","","","","","","","","TRUE","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"MeepleOverchargedPassWall","10","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","",""
"MegaBossSplitterTag","75","","TRUE","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","TRUE","","TRUE","","","","","","","","","","NotForObjects","","","","",""
"TrailRunRubberBandSpeedBoost4","90","50","","","","","","","","TRUE","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TrailRunRubberBandSpeedBoost5","100","60","","","","","","","","TRUE","","","","","","","","","","","","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TrailRunRubberBandSpeedBoost6","110","70","","","","","","","","TRUE","","","","","","","","","","","","700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TrailRunRubberBandSpeedBoost7","120","80","","","","","","","","TRUE","","","","","","","","","","","","800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ActorPlaceholderRoot","25","","","","","","","","","","TRUE","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","",""
"BulletstormUltiMark","7","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
